pathname,x,y,xyDatum,xyUnits,zDatum,zUnits,coordSys,coordID,timeZone
/CHILE/9420004/PRECIP-INC//1DAY//,737654.56,5625113.63,3,2,3,2,4,18,CLT
/CHILE/10100004/PRECIP-INC//1DAY//,779516.31,5564241.28,3,2,3,2,4,18,CLT
/CHILE/10100005/PRECIP-INC//1DAY//,765850.1,5581465.8,3,2,3,2,4,18,CLT
/CHILE/10102002/PRECIP-INC//1DAY//,769694.91,5597417.51,3,2,3,2,4,18,CLT
/CHILE/10106001/PRECIP-INC//1DAY//,756998.16,5614832.27,3,2,3,2,4,18,CLT
/CHILE/10106002/PRECIP-INC//1DAY//,744494.83,5618295.64,3,2,3,2,4,18,CLT
/CHILE/10106003/PRECIP-INC//1DAY//,743624.97,5627088.03,3,2,3,2,4,18,CLT
/CHILE/10111002/PRECIP-INC//1DAY//,717476.98,5593984.02,3,2,3,2,4,18,CLT
/CHILE/10123004/PRECIP-INC//1DAY//,655570.53,5586269.47,3,2,3,2,4,18,CLT
/CHILE/10123006/PRECIP-INC//1DAY//,649420.94,5591482.28,3,2,3,2,4,18,CLT
/CHILE/10134002/PRECIP-INC//1DAY//,680292.08,5619475.03,3,2,3,2,4,18,CLT
/CHILE/10137002/PRECIP-INC//1DAY//,693319.15,5601883.46,3,2,3,2,4,18,CLT
/CHILE/10141001/PRECIP-INC//1DAY//,655695.74,5551873.59,3,2,3,2,4,18,CLT
/CHILE/10304002/PRECIP-INC//1DAY//,742358.27,5543879.36,3,2,3,2,4,18,CLT
/CHILE/10307001/PRECIP-INC//1DAY//,714806.82,5533605.2,3,2,3,2,4,18,CLT
/CHILE/10312001/PRECIP-INC//1DAY//,702994.74,5561705.99,3,2,3,2,4,18,CLT
/CHILE/10323002/PRECIP-INC//1DAY//,715976.99,5488478.35,3,2,3,2,4,18,CLT
/CHILE/10340002/PRECIP-INC//1DAY//,695229.73,5483470.45,3,2,3,2,4,18,CLT
/CHILE/10350001/PRECIP-INC//1DAY//,633087.08,5442650.61,3,2,3,2,4,18,CLT
/CHILE/10355001/PRECIP-INC//1DAY//,656583.21,5466248.86,3,2,3,2,4,18,CLT
/CHILE/10356001/PRECIP-INC//1DAY//,649460.28,5491169.91,3,2,3,2,4,18,CLT
/CHILE/10360002/PRECIP-INC//1DAY//,659967.75,5504864.63,3,2,3,2,4,18,CLT
/CHILE/10371001/PRECIP-INC//1DAY//,632885.37,5535839.64,3,2,3,2,4,18,CLT
/CHILE/10372001/PRECIP-INC//1DAY//,633311.67,5549248.79,3,2,3,2,4,18,CLT
/CHILE/10410004/PRECIP-INC//1DAY//,662522.44,5445017.1,3,2,3,2,4,18,CLT
/CHILE/10425001/PRECIP-INC//1DAY//,671996.77,5407771.83,3,2,3,2,4,18,CLT
/CHILE/10430001/PRECIP-INC//1DAY//,700688.08,5411782.82,3,2,3,2,4,18,CLT
